transaction_id,amount,time_of_day,location_risk,is_foreign,num_prev_transactions,account_age_days,is_fraud
4072,112.85,20,0.34,0,12,696,0
7217,83.41,11,0.13,0,38,186,0
4217,4.25,22,0.03,0,15,1040,0
7953,92.39,13,0.38,0,28,302,0
5971,156.69,19,0.08,0,37,562,0
3351,24.2,19,0.01,0,21,1135,0
4696,211.96,7,0.14,0,10,201,0
3400,85.97,7,0.26,0,33,2906,0
4082,26.57,22,0.18,0,7,2022,0
9150,78.57,13,0.13,0,41,2172,0
1225,54.43,10,0.34,1,34,1642,0
6293,303.04,20,0.06,0,2,172,0
3123,6.46,19,0.36,0,9,1480,0
511,95.04,19,0.04,0,33,863,0
5795,69.89,20,0.02,0,21,2409,0
8182,16.6,18,0.08,1,15,2737,0
9418,30.71,13,0.14,0,15,1505,0
97,73.97,8,0.36,0,12,1027,0
6682,26.55,13,0.18,0,1,1848,0
1513,311.28,8,0.21,0,27,1377,0
8792,5.95,6,0.06,0,32,2112,0
120,77.51,9,0.24,0,11,417,0
7792,24.76,14,0.05,0,28,2901,0
6518,129.89,11,0.35,0,31,1339,0
34,297.37,10,0.2,0,41,2625,0
7888,50.1,10,0.13,0,33,262,0
6831,268.16,10,0.37,0,33,2902,0
5422,37.03,17,0.33,0,8,2228,0
1069,43.79,21,0.38,0,17,1880,0
1348,46.37,8,0.27,0,21,1648,0
4748,3.97,19,0.23,0,31,2483,0
6006,327.91,17,0.11,0,44,2727,0
6040,201.44,14,0.03,0,14,2830,0
3818,173.47,16,0.19,0,22,1551,0
8447,83.26,22,0.39,1,2,1684,0
5270,36.37,18,0.19,0,19,362,0
6898,0.37,14,0.33,0,12,1590,0
5310,224.37,10,0.3,0,15,551,0
32,18.7,11,0.04,0,2,2955,0
5675,316.94,12,0.31,0,10,149,0
4387,321.37,17,0.13,0,7,1558,0
30,4.76,13,0.09,0,13,1061,0
4203,13.42,8,0.24,0,32,767,0
7508,39.59,12,0.12,0,11,2120,0
736,209.72,11,0.17,0,21,732,0
2068,29.92,13,0.24,0,17,2229,0
107,52.83,6,0.21,1,32,1341,0
9645,47.22,9,0.28,1,41,1469,0
8895,0.97,9,0.3,0,44,2072,0
8021,68.89,8,0.11,0,48,1121,0
2233,233.2,7,0.2,0,19,491,0
994,89.22,15,0.35,1,10,1173,0
9413,140.22,16,0.09,0,4,2440,0
7059,229.87,13,0.3,0,38,1395,0
6790,79.97,13,0.37,0,34,204,0
361,49.13,7,0.34,0,37,253,0
305,129.5,21,0.1,0,31,2174,0
2628,116.16,6,0.08,0,32,45,0
8966,108.33,6,0.37,0,18,273,0
4514,98.26,8,0.38,1,15,2695,0
5911,52.14,6,0.34,0,46,1862,0
8314,92.91,18,0.12,0,11,1744,0
3101,9.72,11,0.11,0,43,2576,0
5704,29.08,14,0.2,0,39,1486,0
3899,77.72,10,0.33,0,21,1963,0
5441,61.68,18,0.23,0,20,2115,0
7931,172.49,22,0.14,0,37,2481,0
622,23.49,9,0.17,0,30,1840,0
7236,64.14,9,0.21,0,38,1412,0
2499,394.97,19,0.26,0,6,1780,0
714,53.08,12,0.21,1,28,2212,0
8404,77.3,12,0.32,0,40,85,0
2856,70.51,22,0.02,0,1,2937,0
4270,282.18,21,0.0,0,41,2185,0
2909,36.27,6,0.2,0,24,1117,0
8081,37.66,11,0.26,0,7,477,0
4517,73.68,20,0.18,0,16,1327,0
1262,159.73,17,0.27,0,15,269,0
3161,58.68,8,0.17,0,3,584,0
971,108.97,13,0.4,0,45,1430,0
3913,0.64,11,0.13,0,38,1973,0
5199,48.98,14,0.17,1,15,1930,0
8847,270.48,9,0.17,0,5,1995,0
260,10.22,7,0.32,0,19,2896,0
3791,24.17,15,0.23,0,13,2358,0
9203,91.45,11,0.34,0,22,2762,0
488,32.98,20,0.25,0,1,2072,0
7908,159.0,12,0.3,1,38,845,0
519,436.43,18,0.09,1,9,2376,0
8343,19.82,21,0.35,0,44,562,0
312,8.17,11,0.0,0,32,803,0
3232,93.59,11,0.39,0,46,1448,0
7933,90.81,21,0.32,1,39,496,0
7458,51.87,17,0.07,0,16,1668,0
9784,277.88,22,0.33,0,19,1032,0
5184,273.95,19,0.14,0,31,2428,0
8077,94.04,22,0.09,0,4,903,0
6502,8.35,15,0.29,0,38,2158,0
6791,174.81,20,0.35,0,33,956,0
7773,28.63,15,0.15,0,8,1486,0
2738,78.63,9,0.28,0,44,144,0
7842,57.89,16,0.24,0,40,1282,0
6262,190.74,16,0.0,0,30,309,0
8206,29.45,19,0.18,0,28,2422,0
1248,3.31,6,0.04,1,47,2164,0
9336,23.73,20,0.23,1,48,2933,0
4195,96.54,20,0.08,0,29,703,0
8001,127.39,15,0.33,0,31,180,0
7378,51.55,18,0.24,0,38,564,0
3435,122.89,20,0.01,0,39,2027,0
5382,70.22,20,0.26,0,45,2334,0
959,18.19,12,0.17,0,5,212,0
417,34.7,13,0.09,0,38,2965,0
5742,84.28,12,0.17,0,13,2597,0
6728,9.4,14,0.19,0,31,331,0
4382,7.38,8,0.39,0,7,1143,0
5197,134.15,19,0.22,0,44,1474,0
1113,25.34,17,0.34,0,43,2879,0
2689,67.9,22,0.29,0,29,1549,0
6473,104.28,9,0.02,1,25,660,0
8820,41.9,14,0.37,0,47,1682,0
7808,192.81,12,0.12,0,6,815,0
3411,52.97,6,0.23,0,3,2964,0
81,198.85,8,0.4,0,45,687,0
4614,11.54,16,0.24,0,27,1296,0
1374,67.78,7,0.38,0,15,2713,0
1510,144.77,12,0.28,0,5,458,0
6443,128.32,11,0.15,0,5,2078,0
3071,122.63,11,0.09,0,1,983,0
3016,40.65,8,0.31,0,28,373,0
4823,47.33,22,0.16,0,45,2813,0
7822,47.99,8,0.14,0,36,2657,0
93,143.04,18,0.33,0,25,2003,0
9421,258.17,6,0.23,0,30,2978,0
6600,87.13,11,0.3,0,3,1741,0
4443,25.45,19,0.19,0,34,1355,0
7602,19.44,17,0.09,0,30,2393,0
3835,61.46,17,0.01,0,39,619,0
9702,24.21,12,0.35,1,6,2731,0
4322,274.79,7,0.26,0,8,184,0
3394,39.35,18,0.4,0,48,2457,0
4752,58.73,13,0.33,0,3,2659,0
7229,294.56,8,0.28,0,23,2446,0
9191,234.32,16,0.26,0,2,1184,0
2361,1.18,7,0.03,0,8,2809,0
1148,107.43,19,0.01,0,42,1956,0
5666,152.08,18,0.25,0,39,1325,0
8075,179.14,9,0.23,0,5,242,0
4943,188.7,14,0.22,0,45,2079,0
3663,5.15,15,0.31,0,10,1469,0
1563,151.65,8,0.31,0,39,766,0
4113,7.19,17,0.03,0,33,2619,0
9050,72.72,10,0.28,0,48,363,0
9276,40.97,20,0.04,0,26,1289,0
8538,218.54,14,0.34,0,15,2069,0
795,1.83,11,0.27,0,38,900,0
5854,199.36,20,0.06,0,13,2723,0
7619,354.81,7,0.19,0,28,1652,0
1594,10.99,13,0.08,0,37,1665,0
7418,20.07,8,0.05,0,1,33,0
5267,34.37,11,0.25,0,41,738,0
7147,140.17,10,0.27,0,35,1616,0
89,218.23,17,0.2,0,30,2115,0
8695,73.18,9,0.3,0,42,681,0
9732,137.9,9,0.18,0,34,472,0
9446,4.56,22,0.18,0,40,2337,0
6754,9.04,11,0.23,0,37,2779,0
3502,162.27,14,0.34,0,6,1350,0
2234,191.23,9,0.25,0,29,1601,0
2803,287.71,12,0.02,0,43,2964,0
4424,130.44,10,0.17,0,40,1740,0
5663,167.59,18,0.37,0,49,465,0
7170,27.68,11,0.26,0,46,2229,0
8337,282.96,7,0.15,0,28,2106,0
2148,44.29,6,0.35,0,29,2755,0
7969,54.53,17,0.38,0,46,2363,0
6551,40.66,11,0.16,0,34,2162,0
7643,57.68,18,0.4,1,28,1197,0
6164,46.57,17,0.2,0,47,2376,0
1495,92.49,13,0.34,0,31,1151,0
7696,113.36,22,0.24,0,3,1415,0
7094,13.59,11,0.05,0,11,2906,0
1409,88.03,21,0.12,0,26,2606,0
6691,156.13,8,0.11,0,22,1078,0
3401,6.96,20,0.19,0,5,232,0
109,25.98,20,0.11,0,3,1084,0
5636,5.87,7,0.06,0,31,285,0
8482,28.49,8,0.24,0,8,339,0
6604,164.56,8,0.13,0,26,1747,0
1091,286.0,18,0.2,0,15,1388,0
5560,101.92,17,0.01,0,19,1892,0
9412,111.16,13,0.4,0,40,972,0
8143,103.52,11,0.17,0,17,1522,0
8664,68.91,10,0.12,0,19,2286,0
6596,31.79,11,0.15,0,2,184,0
624,66.27,14,0.4,1,13,2875,0
6871,69.93,11,0.39,0,33,2687,0
4814,71.7,17,0.06,0,8,1960,0
6553,88.11,11,0.12,0,9,2790,0
7530,30.04,10,0.36,0,31,1646,0
5796,158.53,20,0.3,0,14,1105,0
7437,23.66,21,0.05,0,27,689,0
4218,68.94,12,0.08,1,29,2177,0
5941,52.95,9,0.07,0,27,2787,0
8501,55.25,12,0.01,0,3,754,0
6429,31.24,15,0.37,0,36,906,0
6827,21.97,10,0.06,0,44,1223,0
4131,31.74,15,0.38,0,39,464,0
7802,13.13,22,0.22,0,6,784,0
7754,55.4,22,0.17,0,47,2214,0
4722,5.63,16,0.28,0,42,1000,0
1651,3.68,12,0.1,0,46,2854,0
4141,41.97,22,0.02,0,35,1922,0
1618,108.42,10,0.02,0,42,260,0
2030,106.18,17,0.09,0,20,1645,0
8518,256.78,15,0.22,0,20,705,0
4576,37.48,18,0.18,1,10,2018,0
3993,139.62,21,0.24,0,23,532,0
7377,74.93,20,0.13,1,20,2875,0
6150,292.22,21,0.15,0,22,1147,0
4909,135.31,16,0.1,0,29,2986,0
5027,29.96,11,0.12,0,29,1537,0
8261,8.95,14,0.01,0,21,1283,0
4732,7.0,16,0.37,0,7,182,0
7549,176.99,18,0.15,0,34,1240,0
8135,114.4,19,0.27,0,33,2736,0
1607,7.0,11,0.11,0,34,1219,0
4774,170.85,17,0.17,0,28,262,0
8110,147.15,10,0.09,0,17,52,0
6952,64.2,22,0.1,0,17,2496,0
6005,17.1,11,0.34,1,49,1889,0
7729,271.32,18,0.31,0,25,1472,0
3542,165.56,14,0.24,0,43,2800,0
389,138.88,13,0.37,0,32,1727,0
1795,4.26,10,0.33,0,26,571,0
8732,136.0,13,0.17,0,15,2814,0
4920,41.37,7,0.0,1,24,1865,0
5538,209.66,9,0.16,0,44,1543,0
3873,17.06,18,0.23,0,28,2433,0
8869,104.72,11,0.4,0,27,1676,0
2255,211.18,7,0.32,0,30,2127,0
3413,2.27,8,0.25,0,27,1201,0
5460,309.37,13,0.23,0,36,1363,0
4956,138.22,8,0.18,0,29,897,0
7397,17.73,7,0.09,0,23,1271,0
5415,5.06,18,0.36,0,43,2925,0
7400,28.76,8,0.18,0,6,2332,0
7415,66.41,19,0.16,0,42,716,0
9101,85.9,11,0.07,0,17,1394,0
4852,48.06,13,0.02,1,39,1505,0
2026,30.13,20,0.35,0,10,1272,0
2616,10.75,9,0.13,0,26,2565,0
7389,33.72,10,0.22,0,42,165,0
2927,164.35,15,0.28,0,6,2571,0
1122,311.57,6,0.1,0,25,1734,0
2911,26.19,14,0.16,0,40,711,0
8147,36.2,11,0.2,0,36,170,0
7384,82.36,14,0.31,1,39,1341,0
3483,32.44,8,0.13,0,17,1170,0
796,205.67,9,0.16,0,6,539,0
1576,10.06,7,0.08,1,36,2728,0
6177,82.46,16,0.14,0,11,1314,0
6267,398.57,19,0.27,0,43,2245,0
2459,67.12,14,0.23,0,38,359,0
3313,123.36,18,0.11,0,21,580,0
1254,13.37,6,0.32,0,6,43,0
6835,234.46,22,0.16,0,9,1980,0
8795,57.5,19,0.35,0,3,2304,0
3838,12.63,12,0.25,0,35,1097,0
4399,18.62,16,0.13,1,18,2861,0
3596,103.49,8,0.02,0,27,318,0
6622,52.15,14,0.27,0,7,1324,0
8383,108.74,16,0.3,0,41,348,0
2125,414.21,8,0.17,0,48,2289,0
3239,95.79,14,0.35,0,7,2687,0
5404,28.45,9,0.18,0,38,2067,0
5999,66.42,21,0.13,0,12,410,0
5939,27.31,8,0.06,0,4,1560,0
2046,128.31,12,0.31,0,39,1674,0
1579,93.42,13,0.16,0,22,706,0
15,20.07,15,0.33,0,46,2608,0
2674,22.22,6,0.24,0,18,478,0
7017,27.62,6,0.12,0,30,1727,0
8721,37.58,16,0.2,0,36,781,0
8850,4.59,15,0.39,0,11,2622,0
4813,1.33,8,0.39,0,49,519,0
1085,289.56,20,0.39,0,3,339,0
4984,182.7,19,0.0,0,32,743,0
7156,173.03,8,0.39,0,47,1195,0
2885,7.15,9,0.16,0,12,1994,0
334,12.34,13,0.35,0,14,681,0
7205,271.79,6,0.35,0,6,2678,0
4368,58.31,13,0.21,0,23,1574,0
3080,289.56,19,0.2,1,3,363,0
7204,11.95,18,0.04,1,15,2678,0
9910,609.13,2,0.73,1,2,16,1
8865,1.28,8,0.11,1,37,2173,0
264,73.05,20,0.07,0,22,182,0
4338,232.69,14,0.11,0,43,2687,0
8896,15.09,6,0.31,0,19,1074,0
8448,195.67,14,0.01,0,8,1137,0
5904,47.13,16,0.34,0,48,1721,0
1499,47.77,9,0.21,0,35,1908,0
4191,140.03,21,0.4,0,25,2216,0
7486,113.53,21,0.15,0,10,1637,0
9644,14.17,13,0.14,0,40,361,0
8311,64.77,15,0.09,0,49,972,0
7591,21.32,17,0.34,0,17,496,0
501,119.79,21,0.38,1,37,2874,0
9156,13.48,8,0.26,1,29,337,0
9415,63.07,9,0.1,0,27,601,0
3096,111.61,13,0.22,1,1,1914,0
4632,37.41,22,0.36,0,5,2275,0
368,235.76,13,0.03,0,10,2500,0
4059,220.65,10,0.37,0,45,989,0
8175,101.64,9,0.11,0,3,908,0
4631,12.78,7,0.04,0,10,1692,0
6071,298.15,9,0.01,0,9,2872,0
2665,93.59,21,0.17,1,10,1080,0
1027,198.08,8,0.36,0,15,1368,0
5909,24.91,21,0.18,0,4,1779,0
5051,22.01,16,0.03,0,37,1288,0
6329,62.86,17,0.3,0,23,2385,0
9734,152.76,11,0.36,0,32,211,0
1692,69.83,18,0.4,0,29,877,0
674,74.34,6,0.27,0,4,2264,0
5573,172.51,21,0.13,0,29,2947,0
5767,29.15,16,0.36,0,21,696,0
5157,20.34,11,0.33,0,9,2665,0
734,74.04,20,0.12,0,40,1804,0
3527,361.48,21,0.35,0,45,2254,0
569,234.51,20,0.06,0,39,1184,0
9188,0.01,17,0.02,1,41,1238,0
2923,169.71,12,0.17,0,4,2500,0
7912,53.26,11,0.18,0,22,1992,0
1559,183.17,14,0.03,1,33,1736,0
102,101.17,14,0.29,0,2,112,0
3008,1.22,20,0.11,0,45,2494,0
7202,14.56,9,0.23,0,45,2423,0
304,101.45,6,0.29,0,17,973,0
77,147.52,20,0.39,0,3,1944,0
6755,0.14,20,0.34,0,23,756,0
8630,116.08,6,0.39,0,27,2424,0
1209,31.97,14,0.25,0,23,2918,0
7743,133.16,15,0.11,0,27,1445,0
8215,47.72,9,0.27,0,18,1939,0
8945,36.16,14,0.29,0,45,491,0
8414,60.18,8,0.39,1,35,2004,0
1776,37.89,22,0.05,0,47,385,0
3474,120.28,22,0.31,0,17,1110,0
484,98.77,9,0.1,0,4,1760,0
2190,109.36,8,0.18,0,49,2301,0
347,100.81,7,0.15,0,14,1317,0
5482,34.8,22,0.39,0,38,2003,0
8362,14.23,15,0.04,0,39,1361,0
1473,210.8,16,0.04,0,38,780,0
5101,59.62,17,0.37,0,16,132,0
6766,236.19,8,0.34,1,12,1440,0
8707,136.28,6,0.37,0,27,429,0
4930,251.59,8,0.31,0,14,2981,0
6330,5.41,19,0.1,0,10,2364,0
2610,6.47,10,0.08,0,11,412,0
4,91.29,10,0.3,0,11,1900,0
2214,329.17,8,0.19,0,20,1031,0
4828,18.34,16,0.03,0,44,1295,0
857,3.72,12,0.33,0,18,2900,0
6978,175.98,16,0.23,0,24,1435,0
5886,66.53,13,0.05,0,28,2962,0
625,96.3,11,0.24,0,14,2155,0
291,3.1,7,0.34,0,7,2315,0
2019,2.21,21,0.35,0,27,1409,0
669,20.65,12,0.26,0,35,1430,0
8922,3.9,20,0.05,0,17,2704,0
8265,169.76,15,0.03,0,6,2583,0
9697,26.26,16,0.11,0,34,2072,0
1632,42.71,9,0.08,1,22,372,0
5171,55.43,7,0.06,0,38,2001,0
7206,20.28,11,0.21,0,39,2113,0
2523,35.58,13,0.33,0,24,1485,0
2216,36.35,8,0.37,0,15,1309,0
6969,108.02,7,0.21,0,17,915,0
6497,46.5,15,0.27,0,30,849,0
6214,43.19,8,0.04,0,49,551,0
7033,88.14,18,0.0,0,20,1727,0
7421,21.84,9,0.21,0,1,1013,0
1108,141.98,18,0.39,0,15,1954,0
451,150.12,6,0.12,1,28,1172,0
6290,60.19,19,0.31,0,17,2363,0
9967,204.16,4,0.67,1,4,18,1
136,39.04,18,0.05,0,46,1524,0
1786,225.49,17,0.35,0,6,2406,0
3405,137.91,11,0.13,1,43,1499,0
2907,361.48,9,0.13,0,10,1791,0
8305,4.12,18,0.24,0,38,1148,0
7493,41.08,22,0.11,0,24,2255,0
6101,43.47,10,0.27,0,9,2836,0
4505,68.57,22,0.03,0,21,1994,0
5054,8.88,18,0.35,0,20,893,0
5206,47.35,13,0.29,0,13,1411,0
4081,117.88,13,0.29,0,45,690,0
6919,95.54,7,0.19,0,15,1611,0
6803,24.77,15,0.25,0,33,957,0
5207,161.87,20,0.08,1,45,1681,0
533,569.49,19,0.36,0,9,1748,0
4831,159.18,19,0.27,0,44,817,0
4039,107.71,16,0.39,0,30,1252,0
4085,24.68,9,0.26,0,40,2543,0
3205,112.99,13,0.3,0,6,36,0
7111,127.42,11,0.29,0,28,644,0
331,44.0,20,0.03,0,49,2821,0
4958,100.72,16,0.24,1,33,1845,0
3034,10.69,6,0.05,0,28,657,0
7685,9.83,9,0.24,0,16,2406,0
1598,8.28,13,0.15,1,41,1003,0
9920,14.12,1,0.83,0,1,26,1
3598,80.44,15,0.07,0,48,1238,0
9039,133.07,12,0.13,0,41,745,0
8002,116.25,17,0.05,0,23,937,0
591,14.95,7,0.07,0,22,1108,0
648,113.66,19,0.02,0,27,1041,0
9103,39.2,18,0.35,0,40,318,0
8016,147.95,17,0.38,0,41,2137,0
3772,232.7,15,0.31,0,21,1709,0
9040,23.79,22,0.07,0,19,421,0
5083,181.69,13,0.12,0,5,276,0
7883,79.77,15,0.36,0,45,1109,0
9363,54.34,8,0.23,0,22,1986,0
4211,11.15,15,0.02,0,25,617,0
8835,287.47,7,0.4,1,33,1839,0
8700,85.19,12,0.14,1,14,2682,0
1796,8.86,9,0.19,0,44,2603,0
2587,7.45,20,0.0,0,31,2857,0
8356,38.16,6,0.26,0,29,670,0
2317,32.12,16,0.28,0,18,2587,0
4186,100.07,21,0.09,0,17,2383,0
8828,39.9,9,0.19,0,14,2429,0
7073,97.6,20,0.16,0,49,2685,0
5235,70.25,14,0.15,0,1,394,0
8744,5.54,10,0.09,0,36,2374,0
8671,294.07,22,0.25,0,3,1334,0
4769,122.54,13,0.31,0,32,1326,0
9973,678.6,2,0.76,1,4,9,1
7145,271.2,12,0.34,0,1,1022,0
2914,340.66,13,0.11,0,49,2067,0
9872,78.45,0,0.63,1,3,17,1
9894,215.79,3,0.6,1,3,11,1
2076,204.47,9,0.38,0,14,783,0
4303,140.7,11,0.05,0,21,2653,0
5823,123.3,16,0.33,0,19,1336,0
2150,176.17,7,0.35,0,47,42,0
145,33.52,20,0.29,1,17,1368,0
4964,138.07,6,0.19,0,30,2953,0
8160,152.92,6,0.01,1,10,915,0
9031,42.81,20,0.06,0,10,646,0
4776,175.75,16,0.05,0,29,1998,0
8934,110.14,19,0.4,0,20,2371,0
7750,108.58,18,0.07,0,38,1601,0
9829,147.46,8,0.03,0,44,2133,0
9215,2.37,14,0.36,0,14,2103,0
6061,51.67,11,0.02,0,49,1682,0
9476,168.84,8,0.06,0,33,796,0
6410,282.5,16,0.36,0,11,994,0
3318,0.53,21,0.37,0,15,447,0
7465,46.75,20,0.36,1,2,2408,0
3062,9.66,17,0.4,1,34,1466,0
1356,206.69,10,0.11,0,37,239,0
4515,79.97,10,0.15,0,29,110,0
5506,20.06,10,0.1,0,36,925,0
5251,48.78,6,0.22,0,35,2313,0
4512,63.8,16,0.39,0,38,847,0
1731,36.56,19,0.12,0,1,1420,0
1759,11.62,19,0.31,0,49,1539,0
6651,9.3,20,0.4,0,22,2445,0
6647,228.87,8,0.1,0,15,551,0
9861,49.36,0,0.62,1,3,2,1
4140,81.32,18,0.27,0,37,1750,0
9394,129.82,14,0.14,0,20,1494,0
5124,66.48,7,0.29,0,19,799,0
1,46.93,20,0.27,1,8,1288,0
1865,417.79,6,0.01,0,47,2275,0
544,111.38,11,0.12,0,42,458,0
350,98.31,14,0.06,0,44,177,0
6907,26.26,9,0.37,0,43,623,0
9766,24.15,13,0.14,0,18,1053,0
2524,44.43,9,0.31,1,14,2778,0
3465,19.77,15,0.28,0,35,2954,0
458,63.24,10,0.24,0,29,2376,0
3024,40.42,14,0.14,0,26,1315,0
7262,21.12,15,0.04,0,2,1844,0
9516,20.95,8,0.04,0,7,321,0
7873,281.64,17,0.18,0,18,349,0
6626,18.84,12,0.1,1,6,893,0
2535,133.89,12,0.27,0,12,462,0
132,25.12,11,0.03,0,6,2636,0
3705,294.05,20,0.04,0,23,2485,0
1373,192.68,11,0.08,0,2,1259,0
6201,121.5,6,0.13,0,5,113,0
4857,15.78,12,0.28,0,34,442,0
4713,29.66,8,0.19,1,44,542,0
5545,98.36,7,0.32,0,40,667,0
1414,5.88,15,0.31,0,30,1228,0
4114,9.42,18,0.19,0,3,833,0
656,13.65,7,0.36,0,10,2698,0
8138,331.92,14,0.02,0,36,612,0
4099,29.92,9,0.37,0,40,102,0
593,20.07,14,0.32,0,36,145,0
8709,7.02,13,0.01,0,14,2433,0
3124,61.42,11,0.16,0,2,684,0
3048,42.54,6,0.03,0,17,1560,0
3888,100.9,11,0.09,0,15,1021,0
5736,114.78,7,0.21,0,7,2015,0
2185,105.89,15,0.37,1,23,281,0
2146,172.39,6,0.37,0,14,190,0
7048,2.06,7,0.16,0,31,1542,0
3106,56.99,22,0.12,0,47,152,0
9234,60.53,19,0.19,0,17,499,0
9097,34.1,12,0.07,0,8,1394,0
2770,113.82,20,0.25,0,49,2370,0
5222,64.3,22,0.07,1,8,906,0
5834,56.58,17,0.05,0,4,1889,0
1733,74.87,9,0.14,0,46,149,0
266,135.0,19,0.29,0,41,2317,0
5145,52.16,10,0.38,0,13,657,0
8268,45.43,15,0.11,0,23,1110,0
3938,17.46,8,0.1,0,48,279,0
762,37.36,14,0.07,0,40,2994,0
